date,open,high,low,close,volume,instrument_key
2025-04-24,2450.0,2491.0,2435.9,2464.4,1203452.0,NSE_EQ|INE021A01026
2025-04-25,2464.3,2468.7,2413.7,2431.6,702217.0,NSE_EQ|INE021A01026
2025-04-28,2419.9,2459.8,2405.0,2452.2,554922.0,NSE_EQ|INE021A01026
2025-04-29,2460.0,2472.0,2441.6,2451.1,1235066.0,NSE_EQ|INE021A01026
2025-04-30,2450.0,2462.2,2401.5,2425.7,1479678.0,NSE_EQ|INE021A01026
2025-05-02,2425.0,2444.9,2398.0,2409.8,928084.0,NSE_EQ|INE021A01026
2025-05-05,2423.1,2475.0,2423.1,2436.9,1229593.0,NSE_EQ|INE021A01026
2025-05-06,2442.0,2449.9,2391.1,2418.0,702819.0,NSE_EQ|INE021A01026
2025-05-07,2388.0,2405.7,2318.5,2334.1,1711760.0,NSE_EQ|INE021A01026
2025-05-08,2322.0,2349.1,2293.5,2302.6,2292261.0,NSE_EQ|INE021A01026
2025-05-09,2246.6,2331.8,2245.0,2299.6,1503010.0,NSE_EQ|INE021A01026
2025-05-12,2330.0,2378.5,2321.0,2356.4,940135.0,NSE_EQ|INE021A01026
2025-05-13,2354.0,2358.0,2315.1,2324.6,1220489.0,NSE_EQ|INE021A01026
2025-05-14,2319.0,2319.0,2277.1,2282.3,1549845.0,NSE_EQ|INE021A01026
2025-05-15,2285.0,2335.5,2268.0,2329.9,1675016.0,NSE_EQ|INE021A01026
2025-05-16,2333.9,2355.0,2315.0,2353.6,785113.0,NSE_EQ|INE021A01026
2025-05-19,2353.6,2378.9,2326.6,2331.4,552961.0,NSE_EQ|INE021A01026
2025-05-20,2347.5,2347.7,2291.4,2295.6,1095846.0,NSE_EQ|INE021A01026
2025-05-21,2296.0,2316.2,2290.0,2312.4,469330.0,NSE_EQ|INE021A01026
2025-05-22,2309.2,2310.0,2283.1,2299.2,916504.0,NSE_EQ|INE021A01026
2025-05-23,2301.8,2329.0,2295.0,2315.5,458035.0,NSE_EQ|INE021A01026
2025-05-26,2316.0,2338.0,2302.8,2327.2,1258062.0,NSE_EQ|INE021A01026
2025-05-27,2313.1,2351.6,2301.1,2327.6,2485428.0,NSE_EQ|INE021A01026
2025-05-28,2327.6,2333.0,2300.3,2303.2,774808.0,NSE_EQ|INE021A01026
2025-05-29,2303.2,2309.0,2286.5,2294.3,1414643.0,NSE_EQ|INE021A01026
2025-05-30,2296.5,2304.0,2255.0,2259.1,3610474.0,NSE_EQ|INE021A01026
2025-06-02,2259.1,2272.3,2257.9,2266.7,702789.0,NSE_EQ|INE021A01026
2025-06-03,2272.6,2287.3,2246.7,2255.7,792587.0,NSE_EQ|INE021A01026
2025-06-04,2249.5,2261.0,2240.9,2249.0,768084.0,NSE_EQ|INE021A01026
2025-06-05,2251.1,2261.0,2233.0,2243.5,996615.0,NSE_EQ|INE021A01026
2025-06-06,2249.1,2252.6,2239.0,2245.2,822087.0,NSE_EQ|INE021A01026
2025-06-09,2240.0,2255.8,2236.0,2247.9,1041859.0,NSE_EQ|INE021A01026
2025-06-10,2240.0,2240.0,2215.2,2218.9,1809078.0,NSE_EQ|INE021A01026
2025-06-11,2209.0,2225.9,2207.2,2208.8,1431027.0,NSE_EQ|INE021A01026
2025-06-12,2224.0,2263.0,2208.1,2219.4,3417375.0,NSE_EQ|INE021A01026
2025-06-13,2175.0,2217.1,2174.8,2214.2,1786808.0,NSE_EQ|INE021A01026
2025-06-16,2214.2,2250.0,2209.3,2244.8,1301826.0,NSE_EQ|INE021A01026
2025-06-17,2231.0,2281.0,2227.0,2264.8,1540986.0,NSE_EQ|INE021A01026
2025-06-18,2257.0,2284.0,2255.0,2281.4,1131156.0,NSE_EQ|INE021A01026
2025-06-19,2270.0,2285.0,2264.0,2268.0,524936.0,NSE_EQ|INE021A01026
2025-06-20,2267.0,2289.9,2263.0,2285.7,1945030.0,NSE_EQ|INE021A01026
2025-06-23,2261.2,2272.8,2253.9,2264.1,596186.0,NSE_EQ|INE021A01026
2025-06-24,2305.0,2309.7,2268.9,2275.3,1044179.0,NSE_EQ|INE021A01026
2025-06-25,2276.1,2294.3,2275.4,2279.9,807391.0,NSE_EQ|INE021A01026
2025-06-26,2287.0,2292.6,2280.2,2289.8,921519.0,NSE_EQ|INE021A01026
2025-06-27,2283.0,2364.5,2277.1,2358.7,1555259.0,NSE_EQ|INE021A01026
2025-06-30,2362.0,2369.9,2326.1,2341.1,785414.0,NSE_EQ|INE021A01026
2025-07-01,2380.5,2400.0,2350.2,2369.5,1232160.0,NSE_EQ|INE021A01026
2025-07-02,2340.0,2430.0,2327.0,2419.4,1936060.0,NSE_EQ|INE021A01026
2025-07-03,2428.9,2464.4,2425.0,2430.9,1547489.0,NSE_EQ|INE021A01026
2025-07-04,2430.9,2443.0,2412.0,2424.2,602320.0,NSE_EQ|INE021A01026
2025-07-07,2423.3,2465.1,2421.0,2442.8,869054.0,NSE_EQ|INE021A01026
2025-07-08,2440.5,2488.0,2437.3,2484.6,1136367.0,NSE_EQ|INE021A01026
2025-07-09,2520.5,2535.0,2492.9,2498.9,2328785.0,NSE_EQ|INE021A01026
2025-07-10,2507.3,2512.0,2445.1,2451.2,932978.0,NSE_EQ|INE021A01026
2025-07-11,2447.5,2484.8,2435.5,2439.2,1050466.0,NSE_EQ|INE021A01026
2025-07-14,2431.1,2448.6,2391.0,2401.6,891624.0,NSE_EQ|INE021A01026
2025-07-15,2409.9,2415.0,2386.3,2393.5,610228.0,NSE_EQ|INE021A01026
2025-07-16,2381.0,2422.4,2371.0,2410.5,1200913.0,NSE_EQ|INE021A01026
2025-07-17,2404.1,2414.0,2394.0,2398.9,526164.0,NSE_EQ|INE021A01026
2025-07-18,2400.6,2405.0,2372.3,2382.4,599552.0,NSE_EQ|INE021A01026
2025-07-21,2382.4,2408.0,2360.8,2375.4,390934.0,NSE_EQ|INE021A01026
2025-07-22,2375.4,2380.8,2361.3,2365.2,411317.0,NSE_EQ|INE021A01026
2025-07-23,2363.0,2384.7,2352.6,2375.4,368999.0,NSE_EQ|INE021A01026
2025-07-24,2375.4,2380.0,2341.0,2352.1,506960.0,NSE_EQ|INE021A01026
2025-07-25,2340.0,2350.5,2325.8,2336.2,383636.0,NSE_EQ|INE021A01026
2025-07-28,2336.2,2366.4,2320.0,2359.6,650364.0,NSE_EQ|INE021A01026
2025-07-29,2359.0,2418.3,2325.0,2401.5,1742815.0,NSE_EQ|INE021A01026
2025-07-30,2409.0,2443.8,2366.5,2415.8,1685818.0,NSE_EQ|INE021A01026
2025-07-31,2401.4,2417.2,2373.5,2396.1,1274735.0,NSE_EQ|INE021A01026
2025-08-01,2378.0,2472.0,2378.0,2431.0,2225293.0,NSE_EQ|INE021A01026
2025-08-04,2443.2,2467.0,2439.6,2449.8,1165898.0,NSE_EQ|INE021A01026
2025-08-05,2461.9,2463.7,2409.1,2436.8,659094.0,NSE_EQ|INE021A01026
2025-08-06,2440.0,2505.6,2440.0,2491.2,2019109.0,NSE_EQ|INE021A01026
2025-08-07,2484.1,2510.0,2466.9,2506.5,1502806.0,NSE_EQ|INE021A01026
2025-08-08,2506.5,2511.7,2468.5,2475.6,1178226.0,NSE_EQ|INE021A01026
2025-08-11,2463.9,2504.2,2452.0,2489.1,721135.0,NSE_EQ|INE021A01026
2025-08-12,2489.1,2502.8,2474.0,2478.3,608984.0,NSE_EQ|INE021A01026
2025-08-13,2479.8,2504.4,2461.2,2500.2,350844.0,NSE_EQ|INE021A01026
2025-08-14,2505.0,2534.9,2497.7,2528.7,1088550.0,NSE_EQ|INE021A01026
2025-08-18,2550.0,2595.0,2536.6,2587.4,1755615.0,NSE_EQ|INE021A01026
2025-08-19,2587.4,2595.0,2561.2,2579.4,698587.0,NSE_EQ|INE021A01026
2025-08-20,2578.0,2579.3,2563.4,2570.1,308028.0,NSE_EQ|INE021A01026
2025-08-21,2574.9,2576.0,2559.3,2566.6,781082.0,NSE_EQ|INE021A01026
2025-08-22,2562.8,2569.3,2501.1,2504.5,523774.0,NSE_EQ|INE021A01026
2025-08-25,2516.0,2522.5,2476.0,2492.9,766497.0,NSE_EQ|INE021A01026
2025-08-26,2481.1,2523.3,2468.0,2481.4,7106393.0,NSE_EQ|INE021A01026
2025-08-28,2465.0,2528.0,2465.0,2489.0,1485769.0,NSE_EQ|INE021A01026
2025-08-29,2491.0,2531.6,2490.0,2518.6,1798653.0,NSE_EQ|INE021A01026
2025-09-01,2518.0,2577.8,2515.1,2570.2,1314833.0,NSE_EQ|INE021A01026
2025-09-02,2569.0,2571.9,2531.0,2540.0,1024054.0,NSE_EQ|INE021A01026
2025-09-03,2530.0,2565.1,2527.3,2553.9,925847.0,NSE_EQ|INE021A01026
2025-09-04,2553.9,2583.0,2553.0,2568.6,933071.0,NSE_EQ|INE021A01026
2025-09-05,2565.0,2602.0,2565.0,2579.9,1153436.0,NSE_EQ|INE021A01026
2025-09-08,2579.9,2589.6,2526.4,2530.8,742880.0,NSE_EQ|INE021A01026
2025-09-09,2540.0,2551.6,2524.8,2537.3,702450.0,NSE_EQ|INE021A01026
2025-09-10,2537.3,2555.0,2525.1,2543.3,520584.0,NSE_EQ|INE021A01026
2025-09-11,2541.0,2559.5,2535.7,2555.9,423961.0,NSE_EQ|INE021A01026
2025-09-12,2560.0,2568.3,2537.2,2546.3,547539.0,NSE_EQ|INE021A01026
2025-09-15,2535.1,2543.5,2498.0,2502.6,583051.0,NSE_EQ|INE021A01026
2025-09-16,2495.0,2509.9,2474.5,2480.9,760790.0,NSE_EQ|INE021A01026
2025-09-17,2482.0,2496.9,2480.8,2493.6,359627.0,NSE_EQ|INE021A01026
2025-09-18,2497.9,2506.2,2469.3,2478.7,400796.0,NSE_EQ|INE021A01026
2025-09-19,2475.0,2509.5,2468.5,2481.7,3731525.0,NSE_EQ|INE021A01026
2025-09-22,2494.1,2503.0,2474.1,2482.7,872806.0,NSE_EQ|INE021A01026
2025-09-23,2472.1,2483.8,2428.0,2446.9,1332111.0,NSE_EQ|INE021A01026
2025-09-24,2446.0,2475.0,2443.2,2457.2,637749.0,NSE_EQ|INE021A01026
2025-09-25,2458.5,2462.7,2388.0,2404.0,1518215.0,NSE_EQ|INE021A01026
2025-09-26,2397.5,2400.0,2339.0,2342.8,1089446.0,NSE_EQ|INE021A01026
2025-09-29,2342.9,2363.7,2329.2,2342.6,950369.0,NSE_EQ|INE021A01026
2025-09-30,2352.0,2388.8,2340.0,2350.0,778874.0,NSE_EQ|INE021A01026
2025-10-01,2353.4,2357.0,2321.2,2335.8,648279.0,NSE_EQ|INE021A01026
2025-10-03,2342.2,2362.7,2336.1,2357.8,659872.0,NSE_EQ|INE021A01026
2025-10-06,2355.0,2359.2,2334.1,2354.8,362107.0,NSE_EQ|INE021A01026
2025-10-07,2355.0,2371.4,2346.0,2352.8,498524.0,NSE_EQ|INE021A01026
2025-10-08,2360.0,2369.4,2320.0,2328.5,701799.0,NSE_EQ|INE021A01026
2025-10-09,2328.5,2341.0,2323.8,2336.4,587567.0,NSE_EQ|INE021A01026
2025-10-10,2338.9,2357.8,2336.6,2340.2,1117236.0,NSE_EQ|INE021A01026
2025-10-13,2340.2,2366.6,2337.0,2342.5,667732.0,NSE_EQ|INE021A01026
2025-10-14,2342.4,2355.0,2308.0,2318.1,353345.0,NSE_EQ|INE021A01026
2025-10-15,2330.0,2384.0,2325.0,2375.1,753640.0,NSE_EQ|INE021A01026
2025-10-16,2377.0,2420.8,2366.9,2409.7,715890.0,NSE_EQ|INE021A01026
2025-10-17,2421.0,2544.0,2421.0,2507.8,3719960.0,NSE_EQ|INE021A01026
2025-10-20,2507.8,2537.1,2500.7,2516.0,714986.0,NSE_EQ|INE021A01026
2025-10-21,2513.0,2519.2,2484.0,2504.6,107942.0,NSE_EQ|INE021A01026
2025-10-23,2518.9,2546.0,2496.8,2502.4,811738.0,NSE_EQ|INE021A01026
2025-10-24,2495.0,2506.7,2486.3,2501.6,327596.0,NSE_EQ|INE021A01026
2025-10-27,2501.6,2530.0,2499.6,2518.8,550089.0,NSE_EQ|INE021A01026
2025-10-28,2515.0,2528.6,2492.0,2509.3,1103957.0,NSE_EQ|INE021A01026
2025-10-29,2520.0,2550.8,2512.5,2538.7,615292.0,NSE_EQ|INE021A01026
2025-10-30,2535.5,2538.7,2513.3,2523.5,736486.0,NSE_EQ|INE021A01026
2025-10-31,2523.4,2530.0,2505.3,2510.8,609128.0,NSE_EQ|INE021A01026
2025-11-03,2496.2,2515.3,2495.0,2512.2,425210.0,NSE_EQ|INE021A01026
2025-11-04,2510.0,2521.0,2479.7,2486.7,527087.0,NSE_EQ|INE021A01026
2025-11-06,2560.1,2631.0,2560.1,2602.9,4448622.0,NSE_EQ|INE021A01026
2025-11-07,2602.9,2618.9,2585.0,2613.8,791663.0,NSE_EQ|INE021A01026
2025-11-10,2613.8,2666.8,2611.1,2650.4,1706880.0,NSE_EQ|INE021A01026
2025-11-11,2650.4,2664.9,2633.4,2657.2,776404.0,NSE_EQ|INE021A01026
2025-11-12,2660.0,2838.7,2642.1,2769.8,2859196.0,NSE_EQ|INE021A01026
2025-11-13,2858.9,2897.1,2840.0,2879.4,5933630.0,NSE_EQ|INE021A01026
2025-11-14,2865.1,2909.9,2862.0,2906.4,2494076.0,NSE_EQ|INE021A01026
2025-11-17,2906.4,2926.9,2880.0,2887.9,1230683.0,NSE_EQ|INE021A01026
2025-11-18,2886.0,2916.0,2862.1,2906.0,1819066.0,NSE_EQ|INE021A01026
2025-11-19,2914.0,2916.0,2887.2,2893.7,1387906.0,NSE_EQ|INE021A01026
2025-11-20,2897.4,2906.1,2852.5,2859.8,1062883.0,NSE_EQ|INE021A01026
2025-11-21,2869.0,2895.6,2854.1,2876.6,857340.0,NSE_EQ|INE021A01026
2025-11-24,2876.0,2896.5,2864.5,2879.2,5404326.0,NSE_EQ|INE021A01026
2025-11-25,2899.9,2908.5,2869.0,2875.8,972417.0,NSE_EQ|INE021A01026
2025-11-26,2880.0,2896.2,2857.6,2874.0,570376.0,NSE_EQ|INE021A01026
2025-11-27,2880.0,2914.5,2871.4,2879.1,1158685.0,NSE_EQ|INE021A01026
2025-11-28,2880.0,2889.9,2855.8,2874.4,748446.0,NSE_EQ|INE021A01026
2025-12-01,2877.7,2887.5,2848.0,2867.6,499153.0,NSE_EQ|INE021A01026
2025-12-02,2867.0,2962.0,2861.2,2954.4,2102147.0,NSE_EQ|INE021A01026
2025-12-03,2969.0,2969.2,2932.6,2953.5,1252456.0,NSE_EQ|INE021A01026
2025-12-04,2950.0,2985.7,2934.0,2957.2,1466098.0,NSE_EQ|INE021A01026
2025-12-05,2955.0,2973.5,2941.0,2968.5,944978.0,NSE_EQ|INE021A01026
2025-12-08,2970.0,2974.5,2914.8,2928.3,983544.0,NSE_EQ|INE021A01026
2025-12-09,2910.0,2913.5,2788.5,2796.0,1839391.0,NSE_EQ|INE021A01026
2025-12-10,2810.0,2824.0,2796.7,2804.5,845073.0,NSE_EQ|INE021A01026
2025-12-11,2800.0,2811.6,2763.2,2779.4,777422.0,NSE_EQ|INE021A01026
2025-12-12,2795.0,2797.0,2746.0,2764.8,977696.0,NSE_EQ|INE021A01026
2025-12-15,2773.1,2802.0,2758.7,2780.2,1029674.0,NSE_EQ|INE021A01026
2025-12-16,2793.0,2808.0,2776.1,2790.9,916244.0,NSE_EQ|INE021A01026
2025-12-17,2800.0,2806.5,2772.0,2785.7,636499.0,NSE_EQ|INE021A01026
2025-12-18,2780.0,2793.8,2755.3,2759.7,417994.0,NSE_EQ|INE021A01026
2025-12-19,2766.4,2812.4,2759.7,2799.9,3895542.0,NSE_EQ|INE021A01026
2025-12-22,2785.8,2823.1,2780.3,2807.6,463953.0,NSE_EQ|INE021A01026
2025-12-23,2798.0,2819.0,2783.1,2807.8,431068.0,NSE_EQ|INE021A01026
2025-12-24,2807.8,2824.7,2782.0,2785.5,512144.0,NSE_EQ|INE021A01026
2025-12-26,2785.0,2794.4,2743.0,2746.5,532078.0,NSE_EQ|INE021A01026
2025-12-29,2746.5,2793.8,2735.0,2775.4,815529.0,NSE_EQ|INE021A01026
2025-12-30,2770.3,2792.4,2741.0,2758.3,4833527.0,NSE_EQ|INE021A01026
2025-12-31,2755.0,2796.8,2754.9,2769.5,1274705.0,NSE_EQ|INE021A01026
2026-01-01,2775.9,2782.7,2746.1,2752.0,327945.0,NSE_EQ|INE021A01026
2026-01-02,2755.8,2799.0,2755.8,2772.6,508884.0,NSE_EQ|INE021A01026
2026-01-05,2770.0,2828.0,2769.0,2815.6,866733.0,NSE_EQ|INE021A01026
2026-01-06,2820.0,2848.4,2811.6,2845.8,875891.0,NSE_EQ|INE021A01026
2026-01-07,2845.8,2854.7,2801.1,2809.4,636748.0,NSE_EQ|INE021A01026
2026-01-08,2795.0,2804.7,2770.1,2786.5,620031.0,NSE_EQ|INE021A01026
2026-01-09,2789.9,2856.7,2786.2,2825.5,1657381.0,NSE_EQ|INE021A01026
2026-01-12,2826.0,2900.0,2808.0,2896.4,1743901.0,NSE_EQ|INE021A01026
2026-01-13,2900.0,2914.5,2870.8,2886.3,1051986.0,NSE_EQ|INE021A01026
2026-01-14,2884.0,2884.0,2807.3,2813.9,958254.0,NSE_EQ|INE021A01026
2026-01-16,2787.9,2826.5,2750.5,2756.9,1143463.0,NSE_EQ|INE021A01026
2026-01-19,2756.9,2786.3,2724.7,2754.0,1342048.0,NSE_EQ|INE021A01026
2026-01-20,2740.0,2740.1,2669.3,2675.6,911151.0,NSE_EQ|INE021A01026
2026-01-21,2670.0,2688.0,2648.0,2661.1,914318.0,NSE_EQ|INE021A01026
2026-01-22,2665.3,2729.9,2665.3,2703.8,1290346.0,NSE_EQ|INE021A01026
2026-01-23,2703.8,2782.9,2690.8,2703.7,1786635.0,NSE_EQ|INE021A01026
2026-01-27,2719.9,2734.7,2546.0,2622.8,3818761.0,NSE_EQ|INE021A01026
2026-01-28,2535.0,2548.5,2451.0,2511.8,3430002.0,NSE_EQ|INE021A01026
2026-01-29,2511.8,2514.9,2410.0,2416.0,3488159.0,NSE_EQ|INE021A01026
2026-01-30,2417.0,2445.0,2400.5,2428.3,2048843.0,NSE_EQ|INE021A01026
2026-02-01,2439.0,2439.0,2343.1,2357.0,801746.0,NSE_EQ|INE021A01026
2026-02-02,2374.9,2429.5,2372.0,2402.0,1183482.0,NSE_EQ|INE021A01026
2026-02-03,2525.0,2525.0,2391.0,2426.0,2233860.0,NSE_EQ|INE021A01026
2026-02-04,2430.0,2463.8,2417.1,2452.7,970973.0,NSE_EQ|INE021A01026
2026-02-05,2445.0,2455.8,2402.6,2432.1,1047405.0,NSE_EQ|INE021A01026
2026-02-06,2432.0,2444.0,2386.1,2401.1,1043982.0,NSE_EQ|INE021A01026
2026-02-09,2404.0,2426.2,2396.8,2417.4,669839.0,NSE_EQ|INE021A01026
2026-02-10,2419.0,2420.0,2386.9,2393.6,1513620.0,NSE_EQ|INE021A01026
2026-02-11,2399.0,2405.7,2376.3,2392.5,3177710.0,NSE_EQ|INE021A01026
2026-02-12,2398.0,2413.9,2377.0,2410.5,607767.0,NSE_EQ|INE021A01026
2026-02-13,2408.9,2411.8,2360.1,2366.4,675635.0,NSE_EQ|INE021A01026
2026-02-16,2360.0,2405.1,2356.8,2397.2,683108.0,NSE_EQ|INE021A01026
2026-02-17,2399.5,2452.4,2399.5,2437.4,1004356.0,NSE_EQ|INE021A01026
2026-02-18,2440.0,2448.2,2416.5,2432.1,551809.0,NSE_EQ|INE021A01026
2026-02-19,2420.0,2428.0,2391.1,2400.8,971600.0,NSE_EQ|INE021A01026
2026-02-20,2378.2,2435.7,2376.1,2428.1,790329.0,NSE_EQ|INE021A01026
2026-02-23,2424.7,2446.6,2411.5,2429.7,634365.0,NSE_EQ|INE021A01026
2026-02-24,2413.0,2441.5,2403.7,2413.1,499660.0,NSE_EQ|INE021A01026
2026-02-25,2416.0,2427.9,2400.0,2416.4,526764.0,NSE_EQ|INE021A01026
2026-02-26,2416.1,2422.2,2382.0,2394.9,588742.0,NSE_EQ|INE021A01026
2026-02-27,2385.0,2397.6,2359.0,2376.2,2531619.0,NSE_EQ|INE021A01026
2026-03-02,2300.0,2337.9,2283.5,2307.1,2528308.0,NSE_EQ|INE021A01026
2026-03-04,2260.7,2290.9,2216.3,2285.2,1610358.0,NSE_EQ|INE021A01026
2026-03-05,2285.2,2313.0,2253.7,2287.8,925040.0,NSE_EQ|INE021A01026
2026-03-06,2261.7,2307.9,2253.7,2279.5,979742.0,NSE_EQ|INE021A01026
2026-03-09,2200.0,2230.0,2162.6,2220.8,2198153.0,NSE_EQ|INE021A01026
2026-03-10,2251.6,2305.1,2251.6,2280.4,1192174.0,NSE_EQ|INE021A01026
2026-03-11,2290.0,2302.0,2226.0,2232.0,687786.0,NSE_EQ|INE021A01026
2026-03-12,2208.0,2249.9,2201.0,2221.2,1384055.0,NSE_EQ|INE021A01026
2026-03-13,2204.7,2219.7,2190.0,2196.8,949233.0,NSE_EQ|INE021A01026
2026-03-16,2185.4,2227.8,2175.1,2217.7,1111587.0,NSE_EQ|INE021A01026
2026-03-17,2217.7,2261.5,2217.2,2238.2,875461.0,NSE_EQ|INE021A01026
2026-03-18,2235.1,2270.4,2228.6,2262.1,844912.0,NSE_EQ|INE021A01026
2026-03-19,2220.0,2239.0,2180.6,2186.0,889334.0,NSE_EQ|INE021A01026
2026-03-20,2210.9,2224.5,2185.0,2195.4,875920.0,NSE_EQ|INE021A01026
2026-03-23,2180.0,2180.0,2115.0,2121.3,978398.0,NSE_EQ|INE021A01026
2026-03-24,2184.0,2224.5,2153.3,2217.3,1561016.0,NSE_EQ|INE021A01026
2026-03-25,2225.1,2289.7,2222.0,2270.2,1270855.0,NSE_EQ|INE021A01026
2026-03-27,2246.3,2269.0,2201.1,2207.4,1089010.0,NSE_EQ|INE021A01026
2026-03-30,2185.3,2202.9,2151.0,2165.2,1513565.0,NSE_EQ|INE021A01026
2026-04-01,2224.8,2246.6,2198.4,2225.8,1209900.0,NSE_EQ|INE021A01026
2026-04-02,2185.0,2185.1,2142.4,2169.0,1854061.0,NSE_EQ|INE021A01026
2026-04-06,2169.0,2193.2,2145.9,2184.3,2048228.0,NSE_EQ|INE021A01026
2026-04-07,2167.7,2198.7,2145.0,2186.2,1793007.0,NSE_EQ|INE021A01026
2026-04-08,2284.5,2336.9,2245.2,2282.4,2914767.0,NSE_EQ|INE021A01026
2026-04-09,2275.0,2289.6,2252.0,2269.6,1980060.0,NSE_EQ|INE021A01026
2026-04-10,2267.7,2376.9,2267.7,2360.7,3018178.0,NSE_EQ|INE021A01026
2026-04-13,2279.9,2362.5,2262.0,2352.4,1734562.0,NSE_EQ|INE021A01026
2026-04-15,2400.5,2426.0,2381.0,2423.1,1182431.0,NSE_EQ|INE021A01026
2026-04-16,2435.0,2446.6,2411.6,2440.3,1496210.0,NSE_EQ|INE021A01026
2026-04-17,2425.0,2486.1,2417.5,2464.0,1286575.0,NSE_EQ|INE021A01026
2026-04-20,2470.0,2523.8,2456.5,2516.8,1203157.0,NSE_EQ|INE021A01026
2026-04-21,2516.3,2582.0,2513.7,2543.6,1681872.0,NSE_EQ|INE021A01026
2026-04-22,2500.0,2572.0,2500.0,2562.9,1126584.0,NSE_EQ|INE021A01026
2026-04-23,2530.0,2541.7,2510.0,2521.4,1378614.0,NSE_EQ|INE021A01026
2026-04-24,2521.4,2538.9,2470.7,2485.1,436871.0,NSE_EQ|INE021A01026
2026-04-27,2503.0,2519.8,2475.5,2485.2,452134.0,NSE_EQ|INE021A01026
2026-04-28,2475.0,2499.0,2456.1,2462.6,556571.0,NSE_EQ|INE021A01026
2026-04-29,2469.9,2477.9,2438.6,2447.3,603585.0,NSE_EQ|INE021A01026
2026-04-30,2426.7,2455.9,2385.5,2444.5,823684.0,NSE_EQ|INE021A01026
2026-05-04,2460.0,2507.0,2442.3,2448.1,581159.0,NSE_EQ|INE021A01026
2026-05-05,2430.0,2454.9,2415.0,2430.0,327682.0,NSE_EQ|INE021A01026
2026-05-06,2460.0,2529.0,2440.4,2519.0,1395987.0,NSE_EQ|INE021A01026
2026-05-07,2534.6,2555.8,2511.3,2530.6,1053513.0,NSE_EQ|INE021A01026
2026-05-08,2540.0,2607.4,2515.4,2599.9,2327900.0,NSE_EQ|INE021A01026
2026-05-11,2578.9,2607.9,2555.0,2566.1,1271257.0,NSE_EQ|INE021A01026
2026-05-12,2546.2,2555.7,2500.0,2505.5,628802.0,NSE_EQ|INE021A01026
2026-05-13,2554.0,2642.4,2554.0,2617.6,3515018.0,NSE_EQ|INE021A01026
2026-05-14,2620.0,2665.7,2610.0,2622.2,1040916.0,NSE_EQ|INE021A01026
2026-05-15,2622.2,2640.0,2592.8,2605.6,796240.0,NSE_EQ|INE021A01026
2026-05-18,2580.1,2619.4,2556.0,2614.0,898479.0,NSE_EQ|INE021A01026
2026-05-19,2629.0,2646.0,2595.1,2600.7,688639.0,NSE_EQ|INE021A01026
2026-05-20,2562.0,2614.0,2562.0,2598.6,586190.0,NSE_EQ|INE021A01026
2026-05-21,2625.0,2648.3,2590.8,2598.8,1031843.0,NSE_EQ|INE021A01026
2026-05-22,2606.1,2664.7,2600.2,2639.8,1556434.0,NSE_EQ|INE021A01026
2026-05-25,2672.0,2684.1,2653.2,2657.8,815621.0,NSE_EQ|INE021A01026
2026-05-26,2650.0,2664.3,2635.9,2647.0,486267.0,NSE_EQ|INE021A01026
2026-05-27,2644.8,2689.6,2642.0,2671.9,858457.0,NSE_EQ|INE021A01026
