date,open,high,low,close,volume,instrument_key
2025-11-12,112.0,134.4,112.0,131.33,523838472.0,NSE_EQ|INE0HOQ01053
2025-11-13,131.0,153.5,129.55,137.69,535192240.0,NSE_EQ|INE0HOQ01053
2025-11-14,142.7,149.99,140.03,148.53,250139103.0,NSE_EQ|INE0HOQ01053
2025-11-17,154.15,178.23,152.25,174.45,466421770.0,NSE_EQ|INE0HOQ01053
2025-11-18,185.0,193.8,179.5,188.77,463399294.0,NSE_EQ|INE0HOQ01053
2025-11-19,187.99,187.99,169.89,169.89,142472507.0,NSE_EQ|INE0HOQ01053
2025-11-20,157.55,162.27,153.1,156.71,121442958.0,NSE_EQ|INE0HOQ01053
2025-11-21,156.02,168.39,155.6,157.84,182611278.0,NSE_EQ|INE0HOQ01053
2025-11-24,159.26,163.38,150.0,151.8,91853111.0,NSE_EQ|INE0HOQ01053
2025-11-25,152.55,163.2,152.55,161.12,91511871.0,NSE_EQ|INE0HOQ01053
2025-11-26,161.99,165.45,158.88,162.89,67776516.0,NSE_EQ|INE0HOQ01053
2025-11-27,164.2,164.48,159.15,160.24,29835924.0,NSE_EQ|INE0HOQ01053
2025-11-28,160.29,163.25,158.1,158.88,23324297.0,NSE_EQ|INE0HOQ01053
2025-12-01,160.0,161.95,155.8,157.33,26373071.0,NSE_EQ|INE0HOQ01053
2025-12-02,157.47,160.45,156.89,157.84,17154364.0,NSE_EQ|INE0HOQ01053
2025-12-03,158.8,159.7,153.51,154.79,17349565.0,NSE_EQ|INE0HOQ01053
2025-12-04,154.6,154.9,142.91,145.36,44380853.0,NSE_EQ|INE0HOQ01053
2025-12-05,146.24,152.95,146.21,151.18,53444345.0,NSE_EQ|INE0HOQ01053
2025-12-08,151.6,157.5,149.04,151.64,80209990.0,NSE_EQ|INE0HOQ01053
2025-12-09,152.0,152.29,144.2,149.45,50413777.0,NSE_EQ|INE0HOQ01053
2025-12-10,147.6,148.3,142.11,145.96,63196249.0,NSE_EQ|INE0HOQ01053
2025-12-11,145.75,149.6,144.15,145.45,27015806.0,NSE_EQ|INE0HOQ01053
2025-12-12,146.0,146.83,143.96,145.13,23318949.0,NSE_EQ|INE0HOQ01053
2025-12-15,144.99,147.25,144.0,145.86,14822676.0,NSE_EQ|INE0HOQ01053
2025-12-16,146.0,146.67,143.2,144.25,15200310.0,NSE_EQ|INE0HOQ01053
2025-12-17,144.25,144.5,142.4,142.92,11779051.0,NSE_EQ|INE0HOQ01053
2025-12-18,142.92,146.75,142.9,144.11,16804524.0,NSE_EQ|INE0HOQ01053
2025-12-19,145.3,163.5,143.52,160.87,197195933.0,NSE_EQ|INE0HOQ01053
2025-12-22,164.71,172.5,162.15,166.13,160580583.0,NSE_EQ|INE0HOQ01053
2025-12-23,163.26,167.1,160.03,160.82,62417288.0,NSE_EQ|INE0HOQ01053
2025-12-24,161.6,175.5,160.31,163.63,156138198.0,NSE_EQ|INE0HOQ01053
2025-12-26,164.89,167.7,163.9,165.23,53750534.0,NSE_EQ|INE0HOQ01053
2025-12-29,165.6,166.84,160.2,162.11,25285817.0,NSE_EQ|INE0HOQ01053
2025-12-30,162.2,164.11,158.5,159.95,17524476.0,NSE_EQ|INE0HOQ01053
2025-12-31,160.0,160.2,154.8,156.17,22229027.0,NSE_EQ|INE0HOQ01053
2026-01-01,156.23,157.1,153.92,155.3,10837426.0,NSE_EQ|INE0HOQ01053
2026-01-02,155.6,157.05,153.45,155.19,18307846.0,NSE_EQ|INE0HOQ01053
2026-01-05,155.0,156.98,152.62,155.53,16313291.0,NSE_EQ|INE0HOQ01053
2026-01-06,157.0,159.7,154.56,155.31,21986083.0,NSE_EQ|INE0HOQ01053
2026-01-07,155.16,165.15,154.5,162.05,88637839.0,NSE_EQ|INE0HOQ01053
2026-01-08,162.05,167.2,159.0,160.51,62064099.0,NSE_EQ|INE0HOQ01053
2026-01-09,160.7,163.7,156.65,158.97,26323010.0,NSE_EQ|INE0HOQ01053
2026-01-12,160.0,163.5,158.32,162.8,30930100.0,NSE_EQ|INE0HOQ01053
2026-01-13,164.0,165.9,160.9,162.69,25148305.0,NSE_EQ|INE0HOQ01053
2026-01-14,163.5,169.4,157.7,164.34,112099418.0,NSE_EQ|INE0HOQ01053
2026-01-16,167.0,179.78,166.65,173.23,190164176.0,NSE_EQ|INE0HOQ01053
2026-01-19,173.2,174.68,160.1,161.27,58873380.0,NSE_EQ|INE0HOQ01053
2026-01-20,161.99,164.3,156.0,156.98,32143964.0,NSE_EQ|INE0HOQ01053
2026-01-21,156.8,162.3,155.76,161.27,44370489.0,NSE_EQ|INE0HOQ01053
2026-01-22,164.5,166.87,163.52,166.23,27810489.0,NSE_EQ|INE0HOQ01053
2026-01-23,166.9,173.99,165.26,167.51,48985788.0,NSE_EQ|INE0HOQ01053
2026-01-27,168.9,171.81,161.8,168.91,30796637.0,NSE_EQ|INE0HOQ01053
2026-01-28,169.65,173.5,168.12,172.08,27375334.0,NSE_EQ|INE0HOQ01053
2026-01-29,172.8,176.0,169.68,173.28,32571453.0,NSE_EQ|INE0HOQ01053
2026-01-30,171.0,184.5,170.3,177.04,64988391.0,NSE_EQ|INE0HOQ01053
2026-02-01,177.9,184.0,152.52,168.1,86592522.0,NSE_EQ|INE0HOQ01053
2026-02-02,167.0,167.05,157.0,164.16,63309890.0,NSE_EQ|INE0HOQ01053
2026-02-03,173.0,175.0,168.72,172.93,44567195.0,NSE_EQ|INE0HOQ01053
