date,open,high,low,close,volume,instrument_key
2025-03-18,4381.2,4525.0,4322.2,4499.8,694536.0,NSE_EQ|INE918Z01012
2025-03-19,4510.0,4608.0,4495.1,4584.05,534017.0,NSE_EQ|INE918Z01012
2025-03-20,4643.0,4735.85,4496.6,4642.9,652152.0,NSE_EQ|INE918Z01012
2025-03-21,4640.9,4890.0,4599.05,4848.3,1187670.0,NSE_EQ|INE918Z01012
2025-03-24,4936.05,5145.0,4914.35,5036.4,896197.0,NSE_EQ|INE918Z01012
2025-03-25,5100.0,5139.35,4825.0,4882.7,558186.0,NSE_EQ|INE918Z01012
2025-03-26,4970.0,4977.2,4756.55,4873.15,632951.0,NSE_EQ|INE918Z01012
2025-03-27,4865.0,4939.0,4767.05,4803.65,639358.0,NSE_EQ|INE918Z01012
2025-03-28,4878.95,4939.8,4720.0,4747.35,388015.0,NSE_EQ|INE918Z01012
2025-04-01,4725.0,4847.9,4704.55,4795.1,343144.0,NSE_EQ|INE918Z01012
2025-04-02,4789.85,5060.0,4734.85,5036.95,586919.0,NSE_EQ|INE918Z01012
2025-04-03,4960.0,5078.05,4930.55,4956.05,451978.0,NSE_EQ|INE918Z01012
2025-04-04,4940.0,4960.0,4560.0,4649.75,463827.0,NSE_EQ|INE918Z01012
2025-04-07,3900.0,4560.0,3900.0,4439.3,696682.0,NSE_EQ|INE918Z01012
2025-04-08,4660.4,4872.85,4586.2,4836.2,871475.0,NSE_EQ|INE918Z01012
2025-04-09,4785.55,4870.0,4680.6,4833.55,445514.0,NSE_EQ|INE918Z01012
2025-04-11,5046.0,5152.85,4926.6,5091.15,987632.0,NSE_EQ|INE918Z01012
2025-04-15,5202.0,5581.0,5202.0,5520.9,1440058.0,NSE_EQ|INE918Z01012
2025-04-16,5499.0,5844.0,5479.2,5671.2,1458088.0,NSE_EQ|INE918Z01012
2025-04-17,5670.1,5741.9,5535.0,5643.0,648154.0,NSE_EQ|INE918Z01012
2025-04-21,5697.0,5917.8,5671.1,5879.0,664909.0,NSE_EQ|INE918Z01012
2025-04-22,5913.9,6159.7,5908.3,5979.3,857779.0,NSE_EQ|INE918Z01012
2025-04-23,6070.2,6187.4,5829.3,5919.6,654157.0,NSE_EQ|INE918Z01012
2025-04-24,5960.0,5979.7,5800.0,5835.4,395047.0,NSE_EQ|INE918Z01012
2025-04-25,5845.0,5870.0,5472.5,5573.9,856724.0,NSE_EQ|INE918Z01012
2025-04-28,5574.8,5943.4,5563.2,5884.6,675699.0,NSE_EQ|INE918Z01012
2025-04-29,6000.0,6004.6,5845.0,5914.7,509064.0,NSE_EQ|INE918Z01012
2025-04-30,5889.0,5962.4,5701.1,5747.2,524506.0,NSE_EQ|INE918Z01012
2025-05-02,5767.5,5826.0,5625.0,5755.5,380897.0,NSE_EQ|INE918Z01012
2025-05-05,5850.5,5850.5,5765.0,5795.0,184332.0,NSE_EQ|INE918Z01012
2025-05-06,5788.0,5825.0,5600.0,5623.0,235054.0,NSE_EQ|INE918Z01012
2025-05-07,5498.0,5867.0,5490.0,5842.0,599704.0,NSE_EQ|INE918Z01012
2025-05-08,5899.0,5976.0,5621.5,5664.0,392669.0,NSE_EQ|INE918Z01012
2025-05-09,5550.5,5678.0,5500.5,5665.5,373240.0,NSE_EQ|INE918Z01012
2025-05-12,6000.0,6022.0,5870.0,5979.5,424835.0,NSE_EQ|INE918Z01012
2025-05-13,5999.5,6320.0,5940.0,6285.5,921386.0,NSE_EQ|INE918Z01012
2025-05-14,6330.0,6380.0,6196.0,6322.5,578071.0,NSE_EQ|INE918Z01012
2025-05-15,6380.0,6466.0,6231.0,6297.5,411654.0,NSE_EQ|INE918Z01012
2025-05-16,6577.5,6834.5,6200.0,6262.5,2048906.0,NSE_EQ|INE918Z01012
2025-05-19,6300.0,6305.5,6025.5,6104.5,801517.0,NSE_EQ|INE918Z01012
2025-05-20,6105.0,6170.0,5950.0,6003.5,478319.0,NSE_EQ|INE918Z01012
2025-05-21,6003.0,6027.0,5808.0,5951.0,549746.0,NSE_EQ|INE918Z01012
2025-05-22,5950.0,6104.5,5905.0,5932.5,517206.0,NSE_EQ|INE918Z01012
2025-05-23,5961.5,6061.0,5922.5,6024.5,294128.0,NSE_EQ|INE918Z01012
2025-05-26,6070.0,6105.0,5955.0,5975.0,224666.0,NSE_EQ|INE918Z01012
2025-05-27,5985.0,6054.0,5944.0,5978.0,186030.0,NSE_EQ|INE918Z01012
2025-05-28,6024.5,6069.0,5967.0,5992.0,205300.0,NSE_EQ|INE918Z01012
2025-05-29,6031.0,6064.5,5993.0,6027.0,171184.0,NSE_EQ|INE918Z01012
2025-05-30,6005.0,6048.0,5965.0,5980.0,198076.0,NSE_EQ|INE918Z01012
2025-06-02,5983.0,5990.5,5805.0,5821.0,245641.0,NSE_EQ|INE918Z01012
2025-06-03,5865.0,5895.0,5754.0,5788.0,197961.0,NSE_EQ|INE918Z01012
2025-06-04,5809.0,5845.5,5550.0,5737.5,1225654.0,NSE_EQ|INE918Z01012
2025-06-05,5724.5,5892.5,5650.5,5658.5,455000.0,NSE_EQ|INE918Z01012
2025-06-06,5675.0,5779.0,5604.0,5731.5,408842.0,NSE_EQ|INE918Z01012
2025-06-09,5760.0,5799.0,5640.0,5654.0,306258.0,NSE_EQ|INE918Z01012
2025-06-10,5690.0,5699.0,5561.5,5583.5,315763.0,NSE_EQ|INE918Z01012
2025-06-11,5640.0,5675.0,5530.5,5576.0,446287.0,NSE_EQ|INE918Z01012
2025-06-12,5555.0,5618.0,5460.0,5476.5,245119.0,NSE_EQ|INE918Z01012
2025-06-13,5364.5,5525.0,5317.5,5475.5,401169.0,NSE_EQ|INE918Z01012
2025-06-16,5450.0,5611.0,5361.0,5597.5,609364.0,NSE_EQ|INE918Z01012
2025-06-17,5615.0,5710.0,5513.0,5644.0,766550.0,NSE_EQ|INE918Z01012
2025-06-18,5655.0,5799.0,5634.5,5720.0,754206.0,NSE_EQ|INE918Z01012
2025-06-19,5737.0,5756.0,5580.0,5612.0,317124.0,NSE_EQ|INE918Z01012
2025-06-20,5825.5,5887.5,5666.0,5864.5,1460483.0,NSE_EQ|INE918Z01012
